Churn,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
False,Female,False,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.1
True,Male,False,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.1
False,Male,False,Yes,No,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.45
False,Male,False,No,No,52,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65
False,Female,False,Yes,No,14,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.4
False,Female,False,Yes,Yes,43,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.2
False,Male,False,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.8
True,Male,False,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4
False,Female,True,No,No,4,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.25
True,Female,True,No,No,31,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.95
False,Male,False,Yes,Yes,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.45
False,Female,True,No,No,27,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.5
True,Male,False,No,No,4,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,54.3
False,Male,True,No,No,23,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.65
True,Female,False,Yes,No,9,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75
True,Male,False,No,No,55,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.8
False,Female,False,Yes,No,49,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),56.3
False,Female,False,Yes,No,71,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.45
False,Male,False,Yes,No,59,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),66.4
True,Female,True,Yes,No,68,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),96.55
False,Female,False,Yes,No,64,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.3
False,Female,False,Yes,Yes,72,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),66.85
True,Female,True,Yes,No,16,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.35
False,Male,False,Yes,Yes,44,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.0
False,Female,False,Yes,Yes,30,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7
True,Male,True,No,No,12,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.65
False,Male,False,No,No,39,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),53.85
False,Male,False,Yes,Yes,15,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65
True,Female,True,No,No,4,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.85
False,Male,True,No,No,70,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.05
True,Male,False,No,No,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9
False,Male,False,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.6
False,Female,False,Yes,Yes,72,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.7
False,Female,False,No,No,35,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.1
False,Male,True,Yes,Yes,68,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),107.15
False,Male,False,Yes,Yes,71,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,84.8
False,Female,False,Yes,Yes,70,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.7
False,Male,False,Yes,Yes,29,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),55.35
False,Male,False,No,No,66,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35
False,Male,True,No,No,20,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.95
False,Female,False,Yes,Yes,55,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),69.05
False,Male,False,Yes,No,9,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.05
True,Female,True,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.55
False,Female,False,Yes,No,72,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,97.85
False,Female,False,No,Yes,49,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.45
False,Male,False,No,No,24,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.55
False,Male,True,No,No,42,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35
True,Male,False,Yes,No,21,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.1
False,Male,True,Yes,Yes,52,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,80.85
False,Female,False,No,No,18,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.3
False,Male,False,Yes,No,12,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.6
False,Male,False,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),108.4
True,Female,False,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5
False,Male,True,No,No,52,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75
True,Male,False,No,No,46,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.3
True,Female,False,Yes,No,53,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.4
True,Female,True,No,No,15,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),55.0
False,Male,False,Yes,No,70,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),99.35
False,Female,False,Yes,No,18,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1
False,Female,False,No,No,7,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.05
False,Female,False,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.75
True,Male,False,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.25
False,Female,False,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),86.45
False,Female,False,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.35
False,Male,False,Yes,Yes,55,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.25
False,Male,False,No,No,9,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95
False,Female,False,No,No,4,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05
False,Male,False,Yes,Yes,18,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),46.4
False,Male,False,Yes,Yes,41,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),68.5
True,Male,False,No,No,10,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05
True,Male,False,Yes,No,63,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4
False,Male,False,No,Yes,6,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55
False,Male,False,No,No,14,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.35
False,Male,False,Yes,No,61,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),94.15
False,Female,False,No,No,13,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0
False,Male,False,Yes,No,64,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.45
True,Male,False,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05
False,Female,False,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.6
False,Male,False,Yes,Yes,27,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.6
False,Male,False,Yes,No,22,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),59.75
False,Male,False,No,No,11,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,60.9
False,Male,False,Yes,Yes,4,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.55
False,Female,False,Yes,Yes,7,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.8
False,Male,False,No,No,6,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),78.65
False,Male,False,Yes,No,50,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.25
False,Male,False,Yes,Yes,11,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.65
False,Female,True,Yes,No,54,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.1
False,Male,False,Yes,Yes,23,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),30.35
False,Female,False,Yes,No,67,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),109.7
True,Male,True,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3
False,Female,False,No,No,46,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,94.15
False,Female,False,Yes,Yes,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),56.05
False,Female,False,No,No,48,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.35
False,Male,True,Yes,No,40,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,55.8
True,Female,False,Yes,Yes,11,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.35
True,Female,True,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3
False,Female,False,No,No,30,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.8
False,Male,False,No,Yes,15,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0
True,Female,False,No,No,7,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05
False,Male,False,No,No,16,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.55
False,Female,False,No,No,9,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.45
False,Male,False,No,No,7,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.95
True,Male,True,No,No,3,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,91.05
False,Female,False,Yes,Yes,20,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),76.0
False,Male,False,No,No,11,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9
False,Female,False,No,No,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85
False,Female,True,Yes,No,44,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.15
False,Male,False,Yes,Yes,43,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),29.3
False,Male,False,No,No,24,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75
True,Female,False,Yes,Yes,21,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05
False,Male,False,No,No,7,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.3
False,Female,False,Yes,Yes,57,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.75
False,Male,False,No,No,11,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.35
True,Male,True,Yes,No,3,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9
False,Male,False,Yes,No,57,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,107.95
False,Male,False,Yes,Yes,23,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.0
False,Female,False,Yes,Yes,18,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,61.5
False,Male,False,Yes,Yes,70,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05
False,Female,False,Yes,Yes,33,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1
False,Male,False,No,Yes,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.9
False,Female,False,Yes,Yes,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.1
False,Male,True,Yes,No,54,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.45
False,Male,False,Yes,Yes,7,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.35
False,Male,False,Yes,No,70,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),84.6
True,Female,True,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.3
False,Male,True,Yes,No,30,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.7
False,Male,False,Yes,No,32,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,79.25
False,Female,False,Yes,Yes,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.0
False,Female,False,Yes,No,56,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.7
True,Male,False,No,No,11,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.55
False,Male,False,No,No,52,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.3
False,Female,False,No,No,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7
False,Male,False,No,No,29,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,35.6
False,Male,False,Yes,Yes,33,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),82.1
False,Female,False,Yes,Yes,22,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.05
True,Female,False,No,No,29,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.6
False,Female,False,Yes,No,10,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),67.8
False,Female,False,Yes,No,26,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.2
False,Female,False,No,No,13,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,29.15
False,Male,False,Yes,Yes,66,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15
True,Male,False,Yes,No,70,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.65
True,Male,False,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.15
True,Female,False,No,No,57,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25
False,Female,False,Yes,Yes,58,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.2
True,Male,False,Yes,Yes,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0
True,Male,False,No,No,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.8
True,Female,False,No,No,10,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5
True,Female,False,No,No,56,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.85
False,Male,False,No,Yes,22,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1
False,Male,False,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.1
False,Male,False,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1
False,Female,False,Yes,Yes,39,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.05
False,Female,False,No,Yes,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,49.9
True,Male,False,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.1
False,Male,False,Yes,No,52,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.6
True,Male,False,Yes,No,10,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5
False,Male,False,No,No,4,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25
False,Male,False,Yes,Yes,70,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.5
False,Male,False,Yes,No,60,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.95
False,Male,True,Yes,No,8,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4
True,Female,False,Yes,Yes,10,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1
False,Female,False,Yes,Yes,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65
False,Male,True,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.4
False,Female,False,Yes,No,66,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2
False,Male,False,Yes,Yes,49,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,93.65
False,Female,False,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.95
False,Male,False,No,Yes,36,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7
False,Female,False,Yes,No,58,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,68.4
False,Male,False,No,No,7,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9
False,Female,False,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,43.8
False,Male,True,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.05
False,Male,True,Yes,No,35,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.6
True,Male,False,No,No,28,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.5
False,Male,False,No,No,30,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4
False,Male,False,Yes,Yes,52,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25
False,Female,False,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.85
False,Male,False,Yes,Yes,31,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.65
False,Male,False,Yes,Yes,70,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),78.35
False,Male,False,Yes,Yes,53,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7
True,Male,False,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.2
False,Female,False,Yes,Yes,10,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15
True,Female,True,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.7
False,Female,False,Yes,No,29,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85
False,Male,False,Yes,Yes,59,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,86.75
True,Male,False,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.85
True,Female,False,No,No,58,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.45
False,Male,False,Yes,Yes,45,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),73.85
False,Male,False,No,No,12,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.45
True,Female,False,No,No,12,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.4
False,Male,False,Yes,No,33,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.55
True,Female,False,No,No,9,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.65
True,Male,False,Yes,Yes,7,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75
False,Male,False,Yes,Yes,66,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3
True,Male,False,Yes,Yes,52,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),96.25
False,Female,False,Yes,No,49,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.65
False,Female,False,Yes,Yes,61,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),49.7
False,Female,False,No,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.15
False,Female,False,No,No,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.9
False,Male,False,Yes,Yes,17,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,62.1
False,Female,False,No,No,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4
True,Male,False,No,No,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,62.05
False,Male,True,Yes,No,61,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,98.3
False,Male,False,No,No,27,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),69.35
False,Female,False,Yes,Yes,48,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),99.7
False,Male,False,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,99.0
False,Female,False,Yes,Yes,4,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,58.5
False,Male,False,Yes,No,61,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.2
False,Female,False,No,No,31,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,104.35
True,Female,False,Yes,No,32,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.15
False,Female,False,No,No,30,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),106.4
False,Female,False,Yes,Yes,55,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0
False,Female,False,Yes,No,42,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.35
True,Female,False,Yes,Yes,70,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.2
False,Female,False,Yes,Yes,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.9
False,Female,False,No,No,43,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),115.05
False,Male,False,No,No,19,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.15
False,Male,False,Yes,Yes,19,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8
False,Female,False,No,No,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7
